30-10-2025,17:02,14,8448,*P* RUSTAVI INTERNATIONAL MOTORPARK  25/10/25,Nikoloz,01,',01,'',20,ALFANO 6,END,1,0, ,no delete partiel,,10,MINI,FREE,30-10-2025,17:02,*P* RUSTAVI INTERNATIONAL MOTORPARK  25/10/25,Nikoloz,NOT USED,NOT USED
lap,time lap,time partiel 1,time partiel 2,time partiel 3,time partiel 4,time partiel 5,time partiel 6,Min RPM,Max RPM,Min Speed GPS,Max Speed GPS,Min T1,Max T1,Min T2,Max T2,Min T3,Max T3,Min T4,Max T4,Min Speed sensor,Max Speed sensor, RPM max gear,Type de champs,Vbattery,max EGT,Hdop
1,62610,62610,0,0,0,0,0,7664,13648,544,1008,0,0,0,0,0,0,0,0,0,0,13404,1,4096,0,10
2,61460,61460,0,0,0,0,0,7585,13764,534,1015,0,0,0,0,0,0,0,0,0,0,12547,1,4093,0,10
3,61890,61890,0,0,0,0,0,6894,13805,536,1015,0,0,0,0,0,0,0,0,0,0,12224,1,4096,0,10
4,61200,61200,0,0,0,0,0,7489,14587,523,1023,0,0,0,0,0,0,0,0,0,0,14587,1,4096,0,10
5,61670,61670,0,0,0,0,0,7223,15970,498,1026,0,0,0,0,0,0,0,0,0,0,15690,1,4096,0,10
6,61440,61440,0,0,0,0,0,7395,13808,523,1021,0,0,0,0,0,0,0,0,0,0,12744,1,4090,0,11
7,61290,61290,0,0,0,0,0,7828,13866,541,1017,0,0,0,0,0,0,0,0,0,0,13866,1,4096,0,10
8,61670,61670,0,0,0,0,0,7643,13793,538,1020,0,0,0,0,0,0,0,0,0,0,13134,1,4093,0,12
9,61720,61720,0,0,0,0,0,7148,13834,501,1015,0,0,0,0,0,0,0,0,0,0,13395,1,4096,0,10
10,61590,61590,0,0,0,0,0,7403,13901,520,1027,0,0,0,0,0,0,0,0,0,0,13774,1,4096,0,10
11,61540,61540,0,0,0,0,0,7381,14811,541,1028,0,0,0,0,0,0,0,0,0,0,13230,1,4096,0,10
12,61290,61290,0,0,0,0,0,6482,16388,514,1025,0,0,0,0,0,0,0,0,0,0,12554,1,4088,0,10
13,61400,61400,0,0,0,0,0,7890,13879,556,1018,0,0,0,0,0,0,0,0,0,0,12787,1,4090,0,10
14,61540,61540,0,0,0,0,0,7779,13856,558,1023,0,0,0,0,0,0,0,0,0,0,12096,1,4077,0,10
